                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.4395,                 2.0201,                 1.6551,                0.54748,                0.46249,                0.46808,                0.28216,                 1.4909,                 1.7284,                 1.7524,               0.003466,               0.003466,               0.003466
                     68,                 1.4405,                 2.0134,                 1.6579,                0.54402,                0.46587,                0.46879,                0.28308,                 1.4899,                 1.7251,                 1.7513,               0.003367,               0.003367,               0.003367
                     69,                 1.4374,                 2.0057,                 1.6492,                0.54259,                 0.4658,                 0.4692,                0.28379,                 1.4885,                 1.7229,                   1.75,               0.003268,               0.003268,               0.003268
                     70,                 1.4323,                 2.0092,                 1.6451,                0.54452,                 0.4676,                0.46931,                0.28422,                 1.4878,                 1.7209,                 1.7493,               0.003169,               0.003169,               0.003169
                     71,                 1.4338,                 1.9969,                 1.6489,                0.54638,                0.46653,                0.46995,                0.28452,                 1.4869,                 1.7183,                 1.7482,                0.00307,                0.00307,                0.00307
                     72,                 1.4204,                 1.9809,                 1.6354,                0.54853,                0.46753,                0.47096,                0.28528,                 1.4858,                  1.716,                  1.747,               0.002971,               0.002971,               0.002971
                     73,                 1.4354,                  1.995,                 1.6402,                0.55142,                0.46894,                0.47211,                 0.2859,                 1.4847,                  1.714,                 1.7457,               0.002872,               0.002872,               0.002872
                     74,                 1.4291,                  1.986,                 1.6348,                0.55167,                0.46909,                0.47314,                 0.2867,                 1.4838,                 1.7113,                 1.7449,               0.002773,               0.002773,               0.002773
                     75,                 1.4232,                 1.9608,                 1.6317,                0.55733,                0.46871,                0.47423,                0.28746,                 1.4834,                 1.7088,                 1.7442,               0.002674,               0.002674,               0.002674
                     76,                 1.4193,                 1.9735,                 1.6362,                0.55459,                0.47235,                0.47517,                 0.2881,                 1.4829,                 1.7062,                 1.7435,               0.002575,               0.002575,               0.002575
                     77,                 1.4103,                 1.9534,                 1.6219,                 0.5569,                0.47247,                0.47602,                0.28875,                 1.4826,                  1.704,                 1.7432,               0.002476,               0.002476,               0.002476
                     78,                 1.4076,                 1.9539,                 1.6205,                0.55802,                0.47307,                0.47646,                0.28942,                 1.4818,                 1.7011,                 1.7422,               0.002377,               0.002377,               0.002377
                     79,                 1.4119,                 1.9475,                 1.6215,                0.55963,                0.47242,                0.47737,                0.28975,                 1.4813,                 1.6987,                 1.7412,               0.002278,               0.002278,               0.002278
                     80,                 1.4075,                 1.9336,                 1.6144,                0.55939,                0.47272,                0.47822,                 0.2902,                 1.4808,                 1.6961,                 1.7404,               0.002179,               0.002179,               0.002179
                     81,                 1.4032,                  1.932,                  1.614,                0.56352,                0.46998,                0.47865,                0.29079,                 1.4801,                  1.694,                 1.7394,                0.00208,                0.00208,                0.00208
                     82,                 1.4008,                 1.9211,                 1.6106,                0.56262,                0.47017,                0.47941,                0.29165,                 1.4796,                 1.6918,                 1.7386,               0.001981,               0.001981,               0.001981
                     83,                  1.395,                 1.9095,                 1.6082,                0.56206,                0.47087,                0.48052,                0.29213,                 1.4795,                 1.6898,                 1.7379,               0.001882,               0.001882,               0.001882
                     84,                 1.3989,                 1.9172,                 1.6066,                0.56125,                 0.4725,                0.48111,                0.29261,                  1.479,                 1.6873,                  1.737,               0.001783,               0.001783,               0.001783
                     85,                 1.3984,                 1.9057,                 1.6081,                0.56274,                 0.4727,                0.48204,                 0.2929,                 1.4784,                 1.6851,                  1.736,               0.001684,               0.001684,               0.001684
                     86,                 1.3924,                 1.8978,                 1.6054,                0.56364,                0.47385,                0.48306,                0.29342,                 1.4779,                 1.6826,                  1.735,               0.001585,               0.001585,               0.001585
                     87,                 1.3896,                 1.9013,                 1.5994,                0.56194,                0.47628,                 0.4833,                0.29409,                 1.4775,                 1.6802,                  1.734,               0.001486,               0.001486,               0.001486
                     88,                 1.3878,                 1.8871,                 1.5971,                0.56306,                0.47656,                 0.4844,                0.29467,                 1.4771,                 1.6777,                 1.7334,               0.001387,               0.001387,               0.001387
                     89,                 1.3881,                 1.8805,                 1.5956,                0.56447,                 0.4775,                0.48511,                0.29511,                 1.4767,                 1.6755,                 1.7327,               0.001288,               0.001288,               0.001288
                     90,                 1.3809,                 1.8855,                 1.5935,                0.56726,                0.47862,                0.48558,                0.29559,                  1.476,                 1.6729,                 1.7317,               0.001189,               0.001189,               0.001189
                     91,                 1.4147,                  1.667,                 1.6637,                0.57175,                0.47777,                0.48656,                 0.2961,                 1.4758,                 1.6705,                 1.7309,                0.00109,                0.00109,                0.00109
                     92,                 1.4058,                 1.6257,                 1.6527,                 0.5732,                0.47818,                0.48699,                 0.2963,                 1.4752,                  1.668,                   1.73,               0.000991,               0.000991,               0.000991
                     93,                 1.3931,                 1.6098,                 1.6442,                0.57394,                0.47886,                0.48761,                0.29699,                 1.4746,                 1.6653,                 1.7288,               0.000892,               0.000892,               0.000892
                     94,                   1.39,                 1.6001,                 1.6414,                0.57576,                0.47848,                0.48862,                0.29774,                 1.4738,                 1.6623,                 1.7279,               0.000793,               0.000793,               0.000793
                     95,                 1.3809,                  1.583,                 1.6346,                0.57718,                0.47845,                0.48989,                0.29845,                 1.4732,                 1.6591,                 1.7271,               0.000694,               0.000694,               0.000694
                     96,                 1.3785,                 1.5791,                 1.6358,                0.57668,                0.47905,                0.49073,                0.29915,                 1.4724,                 1.6559,                 1.7262,               0.000595,               0.000595,               0.000595
                     97,                 1.3733,                 1.5731,                   1.63,                0.57846,                0.47848,                0.49173,                0.29999,                 1.4713,                 1.6528,                 1.7249,               0.000496,               0.000496,               0.000496
                     98,                 1.3686,                  1.558,                 1.6247,                0.58371,                 0.4808,                 0.4934,                0.30071,                 1.4703,                 1.6501,                 1.7237,               0.000397,               0.000397,               0.000397
                     99,                 1.3607,                  1.556,                 1.6235,                0.58192,                0.48354,                0.49395,                0.30116,                 1.4693,                 1.6473,                 1.7226,               0.000298,               0.000298,               0.000298
                    100,                 1.3618,                 1.5431,                 1.6192,                0.58298,                0.48634,                0.49473,                0.30173,                 1.4685,                 1.6442,                 1.7216,               0.000199,               0.000199,               0.000199
